id,zone,name,bearing,longitude,latitude
23,BMC,River Valley Road,123.56037830961176,103.843858729201,1.29295672712952
72,CBD,Sheares Avenue towards Sheares Link,-172.46117433750413,103.8615171,1.2842371
62,SR1,South Bridge Road before Upper Circular Road,-148.33370886279056,103.848870707579,1.28837230469095
7,CBD,Tanjong Pagar Road,11.890206170198928,103.843088804269,1.27297680515358
17,BMC,Temasek Boulevard,-65.90208435921043,103.860014893734,1.2960690982143
39,THM,Thomson Road after Toa Payoh Rise,-178.69634898315275,103.83729764431,1.33727678080648
56,TPZ,Toa Payoh Lorong 6,-158.05049573212443,103.853256089,1.34062171746891
41,AYT,Tuasbound AYE After North Buona Vista,-59.58342247655073,103.77648,1.30122
59,BKZ,Upper Boon Keng Road,-103.15370657475293,103.870020071292,1.31351569478552
55,UBT,Upper Bt Timah Rd Southbound after Hume Ave,167.02489052160502,103.769678291571,1.35326083005851
1,BMC,Victoria Street,40.93287958136703,103.855723720646,1.30048971651456
71,OR1,Woodsville Tunnel,-171.37552172951453,103.86804,1.32567
