VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:25,18:30,AYT,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:30,19:25,AYT,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,19:25,19:30,AYT,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,CT1,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:00,CT1,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:00,08:05,CT1,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:05,08:30,CT1,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,CT1,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,CT1,10,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,CT1,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,CT1,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,CT1,7,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,CT1,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,CT1,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,CT2,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:00,CT2,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:00,08:05,CT2,5,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:05,08:30,CT2,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,CT2,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,CT2,10,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,CT2,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,CT2,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,CT2,7,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,CT2,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,CT2,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:00,07:05,CT4,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:05,08:30,CT4,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,CT4,5,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,09:25,CT4,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,CT4,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,CT4,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,CT4,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:30,17:35,CT5,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:35,18:00,CT5,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:00,18:05,CT5,7,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:05,18:25,CT5,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:25,18:30,CT5,7,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:30,18:55,CT5,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:55,19:00,CT5,5,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,19:00,19:25,CT5,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,19:25,19:30,CT5,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,19:30,19:55,CT5,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,19:55,20:00,CT5,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:00,07:05,KP2,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:05,07:30,KP2,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,KP2,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:30,KP2,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,KP2,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,KP2,12,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,KP2,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,KP2,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,KP2,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,KP2,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,KP2,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,PE1,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,PE1,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,PE1,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,PE1,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,PE1,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,PE2,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:25,PE2,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:25,08:30,PE2,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,09:25,PE2,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,PE2,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,PE3,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:00,PE3,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:00,08:05,PE3,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:05,08:30,PE3,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,PE3,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,PE3,10,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,PE3,9,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,PE3,8,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,PE3,7,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,PE3,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,PE3,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,PE4,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:30,PE4,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,PE4,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,PE4,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,PE4,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,PE4,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,PE4,1,2024-01-02
